cycle,state,stage,answer,candidate_name,candidate_party,pct
2020,,general,Hawkins,Howie Hawkins,GRE,1.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,,general,Trump,Donald Trump,REP,45.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,,general,Trump,Donald Trump,REP,47.0
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,46.0
2020,Florida,general,Trump,Donald Trump,REP,47.0
2020,Florida,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Wisconsin,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Wisconsin,general,Trump,Donald Trump,REP,47.0
2020,Iowa,general,Biden,Joseph R. Biden Jr.,DEM,49.0
2020,Iowa,general,Trump,Donald Trump,REP,48.0
2020,Ohio,general,Biden,Joseph R. Biden Jr.,DEM,48.0
2020,Ohio,general,Trump,Donald Trump,REP,49.0
2020,Colorado,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,Colorado,general,Trump,Donald Trump,REP,41.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,,general,Trump,Donald Trump,REP,42.0
2020,,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,,general,Hawkins,Howie Hawkins,GRE,1.0
2020,,general,West,Kanye West,IND,1.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,,general,Trump,Donald Trump,REP,41.0
2020,,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Arizona,general,Biden,Joseph R. Biden Jr.,DEM,48.0
2020,Arizona,general,Trump,Donald Trump,REP,48.0
2020,Arizona,general,Biden,Joseph R. Biden Jr.,DEM,48.0
2020,Arizona,general,Trump,Donald Trump,REP,47.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,46.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,46.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,,general,Trump,Donald Trump,REP,42.0
2020,Arizona,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Arizona,general,Trump,Donald Trump,REP,47.0
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Florida,general,Trump,Donald Trump,REP,48.0
2020,Michigan,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Michigan,general,Trump,Donald Trump,REP,44.0
2020,North Carolina,general,Biden,Joseph R. Biden Jr.,DEM,49.0
2020,North Carolina,general,Trump,Donald Trump,REP,47.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,46.0
2020,Wisconsin,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,Wisconsin,general,Trump,Donald Trump,REP,45.0
2020,Iowa,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Iowa,general,Trump,Donald Trump,REP,47.0
2020,Iowa,general,Jorgensen,Jo Jorgensen,LIB,3.0
2020,Iowa,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,45.0
2020,Pennsylvania,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,44.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,45.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,48.8
2020,,general,Trump,Donald Trump,REP,45.6
2020,,general,Jorgensen,Jo Jorgensen,LIB,2.1
2020,,general,Hawkins,Howie Hawkins,GRE,0.9
2020,,general,Biden,Joseph R. Biden Jr.,DEM,49.5
2020,,general,Trump,Donald Trump,REP,45.4
2020,,general,Biden,Joseph R. Biden Jr.,DEM,48.0
2020,,general,Trump,Donald Trump,REP,47.0
2020,California,general,Biden,Joseph R. Biden Jr.,DEM,62.0
2020,California,general,Trump,Donald Trump,REP,31.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,,general,Trump,Donald Trump,REP,39.0
2020,Ohio,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Ohio,general,Trump,Donald Trump,REP,43.0
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Florida,general,Trump,Donald Trump,REP,42.0
2020,Wisconsin,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,Wisconsin,general,Trump,Donald Trump,REP,45.0
2020,Wisconsin,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,Wisconsin,general,Trump,Donald Trump,REP,43.0
2020,Wisconsin,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Wisconsin,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Wisconsin,general,West,Kanye West,IND,0.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,46.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,45.0
2020,Pennsylvania,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Pennsylvania,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Pennsylvania,general,West,Kanye West,IND,0.0
2020,Michigan,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,Michigan,general,Trump,Donald Trump,REP,45.0
2020,Michigan,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,Michigan,general,Trump,Donald Trump,REP,43.0
2020,Michigan,general,West,Kanye West,IND,0.0
2020,Michigan,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Michigan,general,Hawkins,Howie Hawkins,GRE,0.0
2020,North Carolina,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,North Carolina,general,Trump,Donald Trump,REP,48.0
2020,North Carolina,general,Hawkins,Howie Hawkins,GRE,1.0
2020,North Carolina,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Texas,general,Biden,Joseph R. Biden Jr.,DEM,49.0
2020,Texas,general,Trump,Donald Trump,REP,48.0
2020,Texas,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Texas,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Colorado,general,Biden,Joseph R. Biden Jr.,DEM,54.0
2020,Colorado,general,Trump,Donald Trump,REP,42.0
2020,Colorado,general,Jorgensen,Jo Jorgensen,LIB,3.0
2020,Colorado,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Arizona,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Arizona,general,Trump,Donald Trump,REP,47.0
2020,Arizona,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Arizona,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Virginia,general,Biden,Joseph R. Biden Jr.,DEM,54.0
2020,Virginia,general,Trump,Donald Trump,REP,43.0
2020,Virginia,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Virginia,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Alabama,general,Biden,Joseph R. Biden Jr.,DEM,38.0
2020,Alabama,general,Trump,Donald Trump,REP,58.0
2020,Alabama,general,Jorgensen,Jo Jorgensen,LIB,3.0
2020,Alabama,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Florida,general,Trump,Donald Trump,REP,47.0
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Florida,general,Trump,Donald Trump,REP,46.0
2020,Florida,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Florida,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Florida,general,West,Kanye West,IND,1.0
2020,North Carolina,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,North Carolina,general,Trump,Donald Trump,REP,48.0
2020,North Carolina,general,Biden,Joseph R. Biden Jr.,DEM,49.0
2020,North Carolina,general,Trump,Donald Trump,REP,48.0
2020,North Carolina,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,North Carolina,general,Hawkins,Howie Hawkins,GRE,1.0
2020,North Carolina,general,West,Kanye West,IND,1.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,45.0
2020,Pennsylvania,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Pennsylvania,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Nevada,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Nevada,general,Trump,Donald Trump,REP,44.0
2020,Nevada,general,Jorgensen,Jo Jorgensen,LIB,3.0
2020,Nevada,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Florida,general,Trump,Donald Trump,REP,48.0
2020,Florida,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Florida,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Kansas,general,Biden,Joseph R. Biden Jr.,DEM,41.0
2020,Kansas,general,Trump,Donald Trump,REP,55.0
2020,Kansas,general,Jorgensen,Jo Jorgensen,LIB,3.0
2020,Kansas,general,Hawkins,Howie Hawkins,GRE,1.0
2020,South Carolina,general,Biden,Joseph R. Biden Jr.,DEM,44.0
2020,South Carolina,general,Trump,Donald Trump,REP,53.0
2020,South Carolina,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,South Carolina,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Georgia,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Georgia,general,Trump,Donald Trump,REP,48.0
2020,Georgia,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Georgia,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Mississippi,general,Biden,Joseph R. Biden Jr.,DEM,41.0
2020,Mississippi,general,Trump,Donald Trump,REP,55.0
2020,Mississippi,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Mississippi,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Minnesota,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Minnesota,general,Trump,Donald Trump,REP,43.0
2020,Minnesota,general,Jorgensen,Jo Jorgensen,LIB,4.0
2020,Minnesota,general,Hawkins,Howie Hawkins,GRE,2.0
2020,Iowa,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Iowa,general,Trump,Donald Trump,REP,49.0
2020,Iowa,general,Jorgensen,Jo Jorgensen,LIB,3.0
2020,Iowa,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Alabama,general,Biden,Joseph R. Biden Jr.,DEM,37.8
2020,Alabama,general,Trump,Donald Trump,REP,55.0
2020,Alabama,general,Jorgensen,Jo Jorgensen,LIB,7.2
2020,Arizona,general,Biden,Joseph R. Biden Jr.,DEM,50.6
2020,Arizona,general,Trump,Donald Trump,REP,45.7
2020,Arizona,general,Jorgensen,Jo Jorgensen,LIB,3.7
2020,Georgia,general,Biden,Joseph R. Biden Jr.,DEM,53.6
2020,Georgia,general,Trump,Donald Trump,REP,44.3
2020,Georgia,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Illinois,general,Biden,Joseph R. Biden Jr.,DEM,55.1
2020,Illinois,general,Trump,Donald Trump,REP,43.6
2020,Illinois,general,Jorgensen,Jo Jorgensen,LIB,0.9
2020,Illinois,general,Hawkins,Howie Hawkins,GRE,0.3
2020,Indiana,general,Biden,Joseph R. Biden Jr.,DEM,43.0
2020,Indiana,general,Trump,Donald Trump,REP,55.2
2020,Indiana,general,Jorgensen,Jo Jorgensen,LIB,1.7
2020,Michigan,general,Biden,Joseph R. Biden Jr.,DEM,53.6
2020,Michigan,general,Trump,Donald Trump,REP,44.9
2020,Michigan,general,Jorgensen,Jo Jorgensen,LIB,1.3
2020,Michigan,general,Hawkins,Howie Hawkins,GRE,0.1
2020,New Jersey,general,Biden,Joseph R. Biden Jr.,DEM,58.9
2020,New Jersey,general,Trump,Donald Trump,REP,40.0
2020,New Jersey,general,Jorgensen,Jo Jorgensen,LIB,0.8
2020,New Jersey,general,Hawkins,Howie Hawkins,GRE,0.3
2020,Ohio,general,Biden,Joseph R. Biden Jr.,DEM,47.1
2020,Ohio,general,Trump,Donald Trump,REP,52.3
2020,Ohio,general,Jorgensen,Jo Jorgensen,LIB,0.5
2020,Ohio,general,Hawkins,Howie Hawkins,GRE,0.2
2020,Virginia,general,Biden,Joseph R. Biden Jr.,DEM,56.3
2020,Virginia,general,Trump,Donald Trump,REP,41.3
2020,Virginia,general,Jorgensen,Jo Jorgensen,LIB,2.5
2020,Wisconsin,general,Biden,Joseph R. Biden Jr.,DEM,54.6
2020,Wisconsin,general,Trump,Donald Trump,REP,44.9
2020,Wisconsin,general,Jorgensen,Jo Jorgensen,LIB,0.6
2020,Illinois,general,Biden,Joseph R. Biden Jr.,DEM,54.1
2020,Illinois,general,Trump,Donald Trump,REP,38.2
2020,Colorado,general,Biden,Joseph R. Biden Jr.,DEM,55.4
2020,Colorado,general,Trump,Donald Trump,REP,40.7
2020,Colorado,general,Jorgensen,Jo Jorgensen,LIB,2.6
2020,Colorado,general,Hawkins,Howie Hawkins,GRE,1.3
2020,Connecticut,general,Biden,Joseph R. Biden Jr.,DEM,64.1
2020,Connecticut,general,Trump,Donald Trump,REP,33.7
2020,Connecticut,general,Jorgensen,Jo Jorgensen,LIB,1.7
2020,Connecticut,general,Hawkins,Howie Hawkins,GRE,0.5
2020,Kentucky,general,Biden,Joseph R. Biden Jr.,DEM,41.5
2020,Kentucky,general,Trump,Donald Trump,REP,55.0
2020,Kentucky,general,Jorgensen,Jo Jorgensen,LIB,3.5
2020,Louisiana,general,Biden,Joseph R. Biden Jr.,DEM,39.1
2020,Louisiana,general,Trump,Donald Trump,REP,56.6
2020,Louisiana,general,Jorgensen,Jo Jorgensen,LIB,3.5
2020,Maryland,general,Biden,Joseph R. Biden Jr.,DEM,67.0
2020,Maryland,general,Trump,Donald Trump,REP,31.1
2020,Maryland,general,Jorgensen,Jo Jorgensen,LIB,1.5
2020,Maryland,general,Hawkins,Howie Hawkins,GRE,0.4
2020,Minnesota,general,Biden,Joseph R. Biden Jr.,DEM,52.7
2020,Minnesota,general,Trump,Donald Trump,REP,43.4
2020,Minnesota,general,Jorgensen,Jo Jorgensen,LIB,3.5
2020,Minnesota,general,Hawkins,Howie Hawkins,GRE,0.4
2020,Missouri,general,Biden,Joseph R. Biden Jr.,DEM,43.4
2020,Missouri,general,Trump,Donald Trump,REP,54.6
2020,Missouri,general,Jorgensen,Jo Jorgensen,LIB,1.8
2020,Missouri,general,Hawkins,Howie Hawkins,GRE,0.2
2020,Oregon,general,Biden,Joseph R. Biden Jr.,DEM,60.4
2020,Oregon,general,Trump,Donald Trump,REP,37.2
2020,Oregon,general,Jorgensen,Jo Jorgensen,LIB,1.2
2020,Oregon,general,Hawkins,Howie Hawkins,GRE,1.2
2020,South Carolina,general,Biden,Joseph R. Biden Jr.,DEM,48.9
2020,South Carolina,general,Trump,Donald Trump,REP,49.8
2020,South Carolina,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,South Carolina,general,Hawkins,Howie Hawkins,GRE,0.4
2020,Tennessee,general,Biden,Joseph R. Biden Jr.,DEM,40.9
2020,Tennessee,general,Trump,Donald Trump,REP,57.6
2020,Tennessee,general,Jorgensen,Jo Jorgensen,LIB,1.1
2020,Tennessee,general,Hawkins,Howie Hawkins,GRE,0.3
2020,Washington,general,Biden,Joseph R. Biden Jr.,DEM,58.9
2020,Washington,general,Trump,Donald Trump,REP,38.6
2020,Washington,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Washington,general,Hawkins,Howie Hawkins,GRE,0.5
2020,Wyoming,general,Biden,Joseph R. Biden Jr.,DEM,33.0
2020,Wyoming,general,Trump,Donald Trump,REP,66.0
2020,Wyoming,general,Biden,Joseph R. Biden Jr.,DEM,33.0
2020,Wyoming,general,Trump,Donald Trump,REP,66.0
2020,West Virginia,general,Biden,Joseph R. Biden Jr.,DEM,31.0
2020,West Virginia,general,Trump,Donald Trump,REP,67.0
2020,West Virginia,general,Biden,Joseph R. Biden Jr.,DEM,32.0
2020,West Virginia,general,Trump,Donald Trump,REP,67.0
2020,Wisconsin,general,Biden,Joseph R. Biden Jr.,DEM,55.0
2020,Wisconsin,general,Trump,Donald Trump,REP,43.0
2020,Wisconsin,general,Biden,Joseph R. Biden Jr.,DEM,54.0
2020,Wisconsin,general,Trump,Donald Trump,REP,44.0
2020,Washington,general,Biden,Joseph R. Biden Jr.,DEM,62.0
2020,Washington,general,Trump,Donald Trump,REP,35.0
2020,Washington,general,Biden,Joseph R. Biden Jr.,DEM,62.0
2020,Washington,general,Trump,Donald Trump,REP,36.0
2020,Vermont,general,Biden,Joseph R. Biden Jr.,DEM,70.0
2020,Vermont,general,Trump,Donald Trump,REP,28.0
2020,Vermont,general,Biden,Joseph R. Biden Jr.,DEM,71.0
2020,Vermont,general,Trump,Donald Trump,REP,26.0
2020,Virginia,general,Biden,Joseph R. Biden Jr.,DEM,57.0
2020,Virginia,general,Trump,Donald Trump,REP,40.0
2020,Virginia,general,Biden,Joseph R. Biden Jr.,DEM,57.0
2020,Virginia,general,Trump,Donald Trump,REP,41.0
2020,Utah,general,Biden,Joseph R. Biden Jr.,DEM,43.0
2020,Utah,general,Trump,Donald Trump,REP,54.0
2020,Utah,general,Biden,Joseph R. Biden Jr.,DEM,44.0
2020,Utah,general,Trump,Donald Trump,REP,54.0
2020,Texas,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Texas,general,Trump,Donald Trump,REP,48.0
2020,Texas,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Texas,general,Trump,Donald Trump,REP,51.0
2020,Tennessee,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Tennessee,general,Trump,Donald Trump,REP,51.0
2020,Tennessee,general,Biden,Joseph R. Biden Jr.,DEM,45.0
2020,Tennessee,general,Trump,Donald Trump,REP,54.0
2020,South Dakota,general,Biden,Joseph R. Biden Jr.,DEM,37.0
2020,South Dakota,general,Trump,Donald Trump,REP,61.0
2020,South Dakota,general,Biden,Joseph R. Biden Jr.,DEM,36.0
2020,South Dakota,general,Trump,Donald Trump,REP,62.0
2020,South Carolina,general,Biden,Joseph R. Biden Jr.,DEM,44.0
2020,South Carolina,general,Trump,Donald Trump,REP,53.0
2020,South Carolina,general,Biden,Joseph R. Biden Jr.,DEM,43.0
2020,South Carolina,general,Trump,Donald Trump,REP,55.0
2020,Rhode Island,general,Biden,Joseph R. Biden Jr.,DEM,62.0
2020,Rhode Island,general,Trump,Donald Trump,REP,36.0
2020,Rhode Island,general,Biden,Joseph R. Biden Jr.,DEM,62.0
2020,Rhode Island,general,Trump,Donald Trump,REP,36.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,45.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,47.0
2020,Oregon,general,Biden,Joseph R. Biden Jr.,DEM,59.0
2020,Oregon,general,Trump,Donald Trump,REP,39.0
2020,Oregon,general,Biden,Joseph R. Biden Jr.,DEM,59.0
2020,Oregon,general,Trump,Donald Trump,REP,39.0
2020,Oklahoma,general,Biden,Joseph R. Biden Jr.,DEM,36.0
2020,Oklahoma,general,Trump,Donald Trump,REP,62.0
2020,Oklahoma,general,Biden,Joseph R. Biden Jr.,DEM,35.0
2020,Oklahoma,general,Trump,Donald Trump,REP,64.0
2020,Ohio,general,Biden,Joseph R. Biden Jr.,DEM,48.0
2020,Ohio,general,Trump,Donald Trump,REP,50.0
2020,Ohio,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Ohio,general,Trump,Donald Trump,REP,50.0
2020,New York,general,Biden,Joseph R. Biden Jr.,DEM,63.0
2020,New York,general,Trump,Donald Trump,REP,34.0
